#bitsize(pq) p q pq mean
15 137 229 31373 0.0126636530039832
15 137 233 31921 0.009997901041060686
15 139 139 19321 0.011078046984039247
15 139 157 21823 0.009486957045737654
15 139 163 22657 0.016356406034901738
15 139 173 24047 0.01035762601532042
15 139 179 24881 0.018532841990236193
15 139 181 25159 0.010088412032928318
15 139 199 27661 0.009816384001169354
15 139 211 29329 0.008931900025345385
15 139 227 31553 0.010465841041877866
15 139 229 31831 0.01883847895078361
15 139 233 32387 0.018029575003311038
15 149 157 23393 0.018216184980701655
15 149 163 24287 0.0089261379907839
15 149 173 25777 0.011689745006151497
15 149 179 26671 0.011038427997846156
15 149 181 26969 0.015649195993319154
15 149 197 29353 0.014870278013404459
15 149 199 29651 0.014455774973612279
15 149 211 31439 0.013370337954256684
15 151 179 27029 0.016039124981034547
15 151 181 27331 0.00966283300658688
15 151 211 31861 0.015154010034166276
15 157 163 25591 0.015265655994880944
15 157 179 28103 0.024475485959555954
15 157 181 28417 0.014923685987014323
15 157 191 29987 0.01017881603911519
15 157 197 30929 0.016289352031890303
15 157 199 31243 0.018807820975780487
15 163 179 29177 0.011206689989194274
15 163 197 32111 0.02466992801055312
15 163 199 32437 0.013519377040211111
15 167 173 28891 0.021859923959709704
15 167 181 30227 0.014332506980281323
16 131 251 32881 0.021072881994768977
16 131 257 33667 0.01741715398384258
16 131 263 34453 0.015106623992323875
16 131 269 35239 0.018347154022194445
16 131 311 40741 0.019056551973335445
16 131 359 47029 0.023429332009982318
16 131 373 48863 0.017686381994280964
16 131 401 52531 0.02330131799681112
16 131 419 54889 0.012486300023738295
16 131 487 63797 0.025415387004613876
16 137 271 37127 0.021811662008985877
16 137 281 38497 0.01761482801521197
16 137 293 40141 0.01713418500730768
16 137 313 42881 0.020128844014834613
16 137 331 45347 0.01407386502251029
16 137 349 47813 0.02914348797639832
16 137 373 51101 0.021085311949718744
16 137 389 53293 0.009913792950101197
16 137 431 59047 0.011870821996126324
16 137 439 60143 0.019913323980290443
16 139 241 33499 0.05967943900031969
16 139 257 35723 0.02441763796377927
16 139 263 36557 0.023600196989718825
16 139 293 40727 0.0221337599796243
16 139 317 44063 0.011286660970654339
16 139 353 49067 0.011935582966543734
16 139 359 49901 0.021741695003584027
16 139 383 53237 0.02353328000754118
16 149 241 35909 0.01411788398399949
16 149 251 37399 0.016044521995354444
16 149 257 38293 0.017953966977074742
16 149 311 46339 0.01118204597150907
16 149 349 52001 0.01807748799910769
16 149 379 56471 0.01825273100985214
16 149 389 57961 0.01566647895378992
16 149 421 62729 0.014947654970455915
16 149 439 65411 0.009173381025902927
16 151 271 40921 0.016164515982382
16 151 283 42733 0.015568876988254488
16 151 307 46357 0.020777839003130794
16 151 313 47263 0.01496947300620377
16 151 337 50887 0.024041193013545126
16 151 347 52397 0.025218001974280924
16 151 433 65383 0.010123751009814441
16 157 251 39407 0.019594001001678407
16 157 263 41291 0.0177016889792867
16 157 277 43489 0.017698607000056654
16 157 311 48827 0.016583573014941067
16 157 347 54479 0.011056155024562031
16 157 389 61073 0.009235678997356445
16 167 199 33233 0.021454671979881823
16 167 233 38911 0.023564422968775034
16 167 239 39913 0.015274433011654764
16 167 293 48931 0.02017857099417597
16 167 307 51269 0.022969440033193678
16 167 379 63293 0.02108803001465276
16 179 193 34547 0.01648353401105851
16 179 227 40633 0.010370809002779424
16 179 229 40991 0.01641955296508968
16 179 241 43139 0.024467978975735605
16 179 349 62471 0.010782701021526009
16 181 199 36019 0.023156558978371322
16 181 227 41087 0.009862865030299872
16 181 307 55567 0.01600781996967271
16 181 347 62807 0.015575527970213443
16 191 199 38009 0.016539614996872842
16 191 257 49087 0.017672380956355482
16 191 269 51379 0.01627245597774163
16 191 317 60547 0.01690320298075676
16 191 331 63221 0.010849102982319891
16 193 211 40723 0.015012876014225185
16 193 233 44969 0.016229935979936272
16 193 271 52303 0.014219265023712069
16 193 281 54233 0.013315622985828668
16 193 283 54619 0.016251791967079043
16 193 293 56549 0.013849893992301077
16 193 311 60023 0.024209461000282317
16 193 317 61181 0.013151882973033935
16 197 211 41567 0.01011532504344359
16 197 269 52993 0.009018943994306028
16 197 277 54569 0.011386931000743061
16 199 211 41989 0.02540009602671489
16 199 229 45571 0.01093176897848025
16 199 239 47561 0.01566028903471306
16 199 263 52337 0.016793910006526858
16 211 227 47897 0.01708055497147143
16 211 257 54227 0.016476798977237195
16 211 271 57181 0.011022095975931734
16 211 293 61823 0.009347537998110056
16 223 263 58649 0.010982855048496276
16 227 227 51529 0.020098282024264336
16 227 233 52891 0.015510927012655884
16 227 251 56977 0.011607579013798386
16 229 251 57479 0.014666054979898036
16 229 257 58853 0.015190571022685617
16 229 271 62059 0.01563006901415065
16 233 263 61279 0.016893794003408402
16 233 281 65473 0.011940366006456316
16 241 251 60491 0.009057456976734102
16 241 263 63383 0.024010885041207075
17 137 487 66719 0.020238177967257798
17 139 509 70751 0.015340587997343391
17 149 463 68987 0.016545469989068806
17 149 509 75841 0.018753896991256624
17 151 461 69611 0.015431408013682812
17 151 491 74141 0.023606939997989684
17 157 419 65783 0.01221172499936074
17 157 439 68923 0.011487179028335959
17 157 487 76459 0.010106719972100109
17 163 421 68623 0.0144793099607341
17 163 439 71557 0.020382375980261713
17 163 461 75143 0.014324650983326137
17 167 439 73313 0.012658553023356944
17 167 443 73981 0.009976074972655624
17 173 419 72487 0.013857020996510983
17 173 449 77677 0.010912971978541464
17 179 373 66767 0.013341267011128366
17 179 457 81803 0.017528522002976388
17 181 367 66427 0.016419788997154683
17 181 397 71857 0.010437662014737725
17 181 409 74029 0.012825805984903127
17 181 487 88147 0.011801480024587363
17 191 401 76591 0.015748634992633015
17 191 443 84613 0.014174150011967868
17 191 503 96073 0.018474021984729916
17 193 347 66971 0.017450649000238627
17 193 419 80867 0.0230422510067001
17 193 503 97079 0.01260555098997429
17 197 337 66389 0.012951189011801034
17 197 359 70723 0.013800051005091518
17 197 439 86483 0.0182284580077976
17 199 401 79799 0.02103061502566561
17 199 409 81391 0.009811593045014888
17 199 463 92137 0.014162214996758848
17 211 317 66887 0.010487761988770217
17 211 337 71107 0.024105670978315175
17 211 347 73217 0.019761124975048006
17 211 461 97271 0.016556298010982573
17 211 499 105289 0.019552435027435422
17 223 353 78719 0.020975833002012223
17 223 457 101911 0.01220661198021844
17 223 479 106817 0.012353026017080992
17 223 499 111277 0.013429454003926367
17 227 313 71051 0.019902049971278757
17 227 353 80131 0.015159124974161386
17 227 359 81493 0.0110917670535855
17 227 499 113273 0.01138307899236679
17 229 313 71677 0.011994179047178477
17 229 397 90913 0.011109999963082373
17 229 457 104653 0.016739426006097347
17 233 347 80851 0.01555490301689133
17 233 397 92501 0.021333458018489182
17 233 461 107413 0.01449993101414293
17 239 347 82933 0.015441640978679061
17 239 421 100619 0.0100646719802171
17 239 467 111613 0.01853322796523571
17 241 313 75433 0.01713126600952819
17 241 337 81217 0.015227330033667386
17 241 373 89893 0.02131262101465836
17 241 383 92303 0.009144891984760761
17 241 463 111583 0.012320900976192206
17 251 311 78061 0.011430084006860852
17 251 373 93623 0.010567636985797435
17 251 401 100651 0.013909537985455245
17 251 419 105169 0.011549916001968086
17 251 467 117217 0.013420570001471788
17 257 317 81469 0.013299423037096858
17 257 347 89179 0.009836887998972088
17 257 349 89693 0.020406441006343812
17 257 359 92263 0.018417280982248485
17 263 331 87053 0.015716268972028047
17 263 421 110723 0.010458798962645233
17 269 311 83659 0.0148147459840402
17 269 349 93881 0.0156273310421966
17 269 373 100337 0.010190324974246323
17 269 463 124547 0.010976758028846234
17 269 479 128851 0.01043096702778712
17 269 487 131003 0.01663912698859349
17 271 379 102709 0.016607529018074274
17 271 397 107587 0.02182578796055168
17 277 337 93349 0.014359730004798621
17 277 409 113293 0.014476839976850897
17 277 421 116617 0.011268838017713279
17 281 439 123359 0.010726941050961614
17 283 283 80089 0.010066829971037805
17 283 439 124237 0.03378567600157112
17 283 457 129331 0.014216014998964965
17 293 293 85849 0.010878183005843312
17 293 307 89951 0.019167069985996932
17 293 317 92881 0.014533828012645245
17 293 373 109289 0.019486692966893315
17 293 397 116321 0.018470490991603583
17 293 409 119837 0.010772351990453899
17 307 317 97319 0.011889548040926456
17 307 373 114511 0.009523960994556546
17 307 421 129247 0.01167533901752904
17 311 389 120979 0.01710308203473687
17 311 419 130309 0.01846826495602727
17 331 347 114857 0.022342885960824788
17 347 367 127349 0.010614175989758223
18 257 617 158569 0.01772921794326976
18 257 647 166279 0.014958226005546749
18 257 809 207913 0.024366608005948365
18 263 499 131237 0.030173562990967184
18 263 613 161219 0.013596459990367293
18 263 619 162797 0.017281899985391647
18 263 631 165953 0.01569108001422137
18 269 821 220849 0.01411597803235054
18 269 967 260123 0.015938381024170667
18 271 601 162871 0.022531207010615617
18 271 661 179131 0.02274012000998482
18 271 829 224659 0.01714522804832086
18 271 857 232247 0.019504309981130064
18 271 859 232789 0.02354198700049892
18 277 547 151519 0.022186887043062598
18 277 599 165923 0.020999092026613653
18 277 643 178111 0.02284638799028471
18 277 719 199163 0.01691176200984046
18 277 761 210797 0.017053824034519494
18 277 787 217999 0.010995243035722524
18 277 811 224647 0.021848474978469312
18 277 829 229633 0.02279079199070111
18 277 919 254563 0.024389219004660845
18 281 523 146963 0.01036085601663217
18 281 631 177311 0.024303010024596006
18 281 727 204287 0.013944578007794917
18 283 691 195553 0.01062246598303318
18 283 739 209137 0.011545268003828824
18 283 797 225551 0.012056537962052971
18 283 827 234041 0.01610014302423224
18 293 521 152653 0.017672452959232032
18 293 523 153239 0.009734839026350528
18 293 593 173749 0.014413330995012075
18 293 877 256961 0.019315654993988574
18 307 607 186349 0.01409199001500383
18 307 653 200471 0.0270138030173257
18 307 839 257573 0.01666399498935789
18 307 853 261871 0.020559614000376314
18 311 433 134663 0.020544230996165425
18 311 439 136529 0.019592612981796265
18 311 491 152701 0.02126301801763475
18 311 757 235427 0.01340733899269253
18 311 811 252221 0.013937237963546067
18 313 659 206267 0.019592565018683672
18 313 733 229429 0.02216930204303935
18 317 433 137261 0.0234272230300121
18 317 479 151843 0.024528442998416722
18 317 547 173399 0.01668577699456364
18 317 683 216511 0.020005367987323552
18 317 727 230459 0.014819320989772677
18 317 769 243773 0.018321521987672895
18 317 811 257087 0.011385974008589983
18 331 499 165169 0.011424097989220172
18 331 619 204889 0.011375204019714147
18 331 701 232031 0.024739932967349887
18 337 419 141203 0.012771783978678286
18 337 443 149291 0.013395096000749618
18 337 599 201863 0.014876687026116997
18 337 709 238933 0.022034274006728083
18 337 733 247021 0.01561090600444004
18 337 773 260501 0.00938430498354137
18 347 419 145393 0.010904719005338848
18 347 571 198137 0.012335816980339587
18 347 683 237001 0.013821183994878083
18 349 379 132271 0.025088764959946275
18 359 617 221503 0.015257509017828852
18 359 659 236581 0.02210792002733797
18 367 643 235981 0.021735863003414124
18 367 683 250661 0.02693475899286568
18 373 389 145097 0.02232760301558301
18 373 683 254759 0.01919054100289941
18 379 389 147431 0.018169969029258937
18 379 397 150463 0.016474161995574832
18 379 439 166381 0.014987530012149364
18 383 421 161243 0.01906547899125144
18 383 457 175031 0.016908579971641302
18 389 521 202669 0.01000260899309069
18 397 571 226687 0.01728848402854055
18 397 617 244949 0.022296831011772156
18 401 467 187267 0.01739179203286767
18 401 569 228169 0.014846011996269226
18 409 523 213907 0.015602548024617136
18 409 571 233539 0.015143338998313993
18 419 461 193159 0.015988257015123963
18 421 509 214289 0.015381419041659683
18 421 523 220183 0.022950284008402377
18 421 619 260599 0.02383036899846047
18 431 463 199553 0.011367357044946402
18 431 571 246101 0.024413125007413328
18 433 463 200479 0.01573688501957804
18 433 509 220397 0.018237162032164633
18 439 479 210281 0.01604888995643705
18 443 521 230803 0.01442794594913721
18 449 487 218663 0.015974400972481817
18 449 569 255481 0.021354036987759173
18 461 487 224507 0.02249768900219351
18 467 523 244241 0.01470928400522098
18 467 541 252647 0.020139503991231322
18 487 523 254701 0.016763090970925987
18 499 523 260977 0.00941960496129468
19 263 997 262211 0.01688865799224004
19 277 977 270629 0.016092259960714728
19 307 919 282133 0.022161340981256217
19 313 859 268867 0.0150631979922764
19 313 877 274501 0.02535900304792449
19 317 941 298297 0.02396191901061684
19 317 977 309709 0.01666341401869431
19 317 997 316049 0.017943890998139977
19 331 997 330007 0.011781489010900259
19 337 947 319139 0.011569931986741722
19 349 1019 355631 0.018479382968507707
19 353 773 272869 0.02742287196451798
19 353 857 302521 0.024246675020549446
19 353 983 346999 0.016241995035670698
19 373 821 306233 0.02048063202528283
19 379 701 265679 0.01311135501600802
19 383 929 355807 0.02388662297744304
19 383 1019 390277 0.012528880033642054
19 397 991 393427 0.013471737038344145
19 401 673 269873 0.023238644003868103
19 401 719 288319 0.012207328982185572
19 401 853 342053 0.01219808094901964
19 401 877 351677 0.01570118503877893
19 401 881 353281 0.015817653969861567
19 409 743 303887 0.023423863982316107
19 409 857 350513 0.011044148996006697
19 409 881 360329 0.020371582999359816
19 419 647 271093 0.016496131953317672
19 419 661 276959 0.05055719503434375
19 419 673 281987 0.026008684013504535
19 421 769 323749 0.0202432349906303
19 421 797 335537 0.01710932096466422
19 431 809 348679 0.026031578017864376
19 433 619 268027 0.011632081004790962
19 443 821 363703 0.010984321008436382
19 443 941 416863 0.020381962007377297
19 443 947 419521 0.012721006001811475
19 449 733 329117 0.012093107972759753
19 457 823 376111 0.014780771976802498
