#bitsize(pq) p q pq median
14 67 233 15611 0.0034144444980483968
14 67 239 16013 0.0031197085045278072
14 67 241 16147 0.003270365999924252
14 71 131 9301 0.0034297950005566236
14 71 137 9727 0.0035229635032010265
14 71 149 10579 0.003528374498273479
14 71 151 10721 0.0033790459965530317
14 71 157 11147 0.0034196305023215245
14 71 167 11857 0.003453802997682942
14 71 179 12709 0.0030186489966581576
14 71 181 12851 0.0034797609987435862
14 71 199 14129 0.0033873415013658814
14 71 227 16117 0.0032899660000111908
14 73 113 8249 0.003133634501864435
14 73 127 9271 0.0033662835012364667
14 73 131 9563 0.0035305320016050246
14 73 139 10147 0.003418217002035817
14 73 151 11023 0.003439808999246452
14 73 157 11461 0.0034305064982618205
14 73 163 11899 0.003452011998888338
14 73 167 12191 0.0032749220008554403
14 73 181 13213 0.00342970300334855
14 73 191 13943 0.0032390300002589356
14 73 193 14089 0.0035503590006555896
14 73 197 14381 0.0034000819978246
14 73 199 14527 0.0032672770030330867
14 73 211 15403 0.0034440954950696323
14 73 223 16279 0.0033099100000981707
14 79 107 8453 0.0033331185040879063
14 79 109 8611 0.003000102999067167
14 79 113 8927 0.003068424000957748
14 79 127 10033 0.0032452984996780287
14 79 137 10823 0.0032213895028689876
14 79 139 10981 0.003391363501577871
14 79 149 11771 0.003406799503864022
14 79 157 12403 0.0034723159988061525
14 79 163 12877 0.0032192984981520567
14 79 167 13193 0.00336022800183855
14 79 191 15089 0.0034929105022456497
14 79 197 15563 0.002670502999535529
14 79 199 15721 0.003425351998885162
14 83 103 8549 0.003238424498704262
14 83 107 8881 0.00303172650092165
14 83 109 9047 0.003210702503565699
14 83 113 9379 0.0027851134982483927
14 83 127 10541 0.002985298000567127
14 83 149 12367 0.0033683225010463502
14 83 157 13031 0.0031314799998654053
14 83 173 14359 0.0032251694974547718
14 83 179 14857 0.0035953160040662624
14 83 181 15023 0.0032297550023940857
14 83 193 16019 0.0032906335000006948
14 89 101 8989 0.003141864999633981
14 89 103 9167 0.0029154339972592425
14 89 107 9523 0.0032380564989580307
14 89 131 11659 0.0034129275009036064
14 89 149 13261 0.003428866999456659
14 89 151 13439 0.003540645004250109
14 89 157 13973 0.0033874340006150305
14 89 163 14507 0.0036516125001071487
14 97 97 9409 0.003270098997745663
14 97 103 9991 0.0024468269948556554
14 97 107 10379 0.0032216780055023264
14 97 127 12319 0.0030086764963925816
14 97 137 13289 0.003368877496541245
14 97 139 13483 0.003285967995907413
14 97 149 14453 0.0033026829987647943
14 97 151 14647 0.0034240850000060163
14 97 157 15229 0.0032680744989193045
14 97 163 15811 0.003321115997096058
14 101 107 10807 0.0030368350016942713
14 101 127 12827 0.003136105002340628
14 101 137 13837 0.00340686699928483
14 101 139 14039 0.003383357499842532
14 101 149 15049 0.0034312404968659393
14 103 107 11021 0.0029944864982098807
14 103 113 11639 0.0031992249969334807
14 103 151 15553 0.0034553169971331954
14 103 157 16171 0.003331922500365181
14 107 107 11449 0.003321438474813476
14 107 127 13589 0.0032244915018964093
14 107 137 14659 0.0035379389992158394
14 109 109 11881 0.0034263320012541953
14 109 113 12317 0.0027810994979518
14 109 149 16241 0.0025991205002355855
14 113 127 14351 0.00220763999823248
14 113 139 15707 0.00333162400056608
15 67 251 16817 0.0036147019964118954
15 73 229 16717 0.003383241499250289
15 79 227 17933 0.0035356599983060732
15 79 229 18091 0.0035356790031073615
15 79 239 18881 0.0037784719970659353
15 79 241 19039 0.0035020084978896193
15 83 199 16517 0.0037542890022450592
15 83 211 17513 0.003860764001728967
15 83 233 19339 0.0033148884976981208
15 89 191 16999 0.003224821499316022
15 89 193 17177 0.003362682997249067
15 89 211 18779 0.003358319001563359
15 89 233 20737 0.003716983501362847
15 97 179 17363 0.0031276960035029333
15 97 181 17557 0.0036727170008816756
15 97 191 18527 0.0032403805016656406
15 97 197 19109 0.0037544680017163046
15 97 251 24347 0.0036792120008612983
15 101 173 17473 0.0035892989981221035
15 101 191 19291 0.0035430740026640706
15 101 193 19493 0.0037955029984004796
15 101 199 20099 0.003720595999766374
15 101 233 23533 0.0037907914993411396
15 101 239 24139 0.0033008380014507566
15 103 167 17201 0.0035826375024043955
15 103 181 18643 0.0032702874996175524
15 103 197 20291 0.0037633585052390117
15 103 239 24617 0.0038204869997571222
15 107 223 23861 0.003477631998975994
15 107 227 24289 0.0037397210035123862
15 107 239 25573 0.003170750500430586
15 109 179 19511 0.0026189804993919097
15 109 227 24743 0.0033157179932459258
15 109 233 25397 0.0036335699951450806
15 113 149 16837 0.003514847001497401
15 113 181 20453 0.003622811498644296
15 113 197 22261 0.0033301474977633916
15 113 229 25877 0.003619932998844888
15 113 233 26329 0.0035047785022470634
15 113 241 27233 0.0038771245017414913
15 113 251 28363 0.0035637605033116415
15 127 149 18923 0.003295182999863755
15 127 163 20701 0.0035426104986981954
15 127 173 21971 0.00344641599804163
15 127 179 22733 0.0035675814979185816
15 127 191 24257 0.0037037034962850157
15 127 193 24511 0.003517563502100529
