#bitsize(pq) p q pq mean
14 83 181 15023 0.002360392804257572
14 83 193 16019 0.0025853781728073953
14 89 101 8989 0.002726545394398272
14 89 103 9167 0.0028889545938000083
14 89 107 9523 0.0028760718065313994
14 89 131 11659 0.0030590117909014224
14 89 149 13261 0.003134592389687896
14 89 151 13439 0.0025497361784800887
14 89 157 13973 0.0032688341685570776
14 89 163 14507 0.002801027393434197
14 97 97 9409 0.0029290862032212315
14 97 103 9991 0.004278542986139655
14 97 107 10379 0.0027879383764229716
14 97 127 12319 0.0025317784049548207
14 97 137 13289 0.004111012595240026
14 97 139 13483 0.003406599396839738
14 97 149 14453 0.0033753819996491076
14 97 151 14647 0.0038570392061956227
14 97 157 15229 0.002816622599493712
14 97 163 15811 0.003836694417987019
14 101 107 10807 0.004606936790514738
14 101 127 12827 0.0038835792103782294
14 101 137 13837 0.0026344646001234652
14 101 139 14039 0.00444937840802595
14 101 149 15049 0.0039025246049277486
14 103 107 11021 0.0025408055866137148
14 103 113 11639 0.002762357797473669
14 103 151 15553 0.003990001801867038
14 103 157 16171 0.003429090208373964
14 107 107 11449 0.0036788077908568085
14 107 127 13589 0.003570417989976704
14 107 137 14659 0.0029701677849516273
14 109 109 11881 0.005878686008509248
14 109 113 12317 0.002698136807885021
14 109 149 16241 0.00414508261019364
14 113 127 14351 0.0024879840086214243
14 113 139 15707 0.0034405886079184713
15 67 251 16817 0.0055534443934448065
15 73 229 16717 0.002870808995794505
15 79 227 17933 0.002600498788524419
15 79 229 18091 0.0034655661904253064
15 79 239 18881 0.004131650808267296
15 79 241 19039 0.0031115379882976414
15 83 199 16517 0.0034900848171673716
15 83 211 17513 0.004176645004190504
15 83 233 19339 0.005570156604517251
15 89 191 16999 0.004806341417133808
15 89 193 17177 0.002199173194821924
15 89 211 18779 0.004301929811481387
15 89 233 20737 0.0041458854102529585
15 97 179 17363 0.002970268588978797
15 97 181 17557 0.00333754678722471
15 97 191 18527 0.003371441399212927
15 97 197 19109 0.0034017610014416277
15 97 251 24347 0.002892221393994987
15 101 173 17473 0.0033299817820079624
15 101 191 19291 0.003179592592641711
15 101 193 19493 0.0033776376047171654
15 101 199 20099 0.005103350803256035
15 101 233 23533 0.0030229354044422506
15 101 239 24139 0.005392837605904787
15 103 167 17201 0.003558885003440082
15 103 181 18643 0.0035554150003008545
15 103 197 20291 0.0034809854230843486
15 103 239 24617 0.003861045790836215
15 107 223 23861 0.0042193508124910295
15 107 227 24289 0.0052638347959145905
15 107 239 25573 0.0032304572057910265
15 109 179 19511 0.0033945903996936977
15 109 227 24743 0.003146295598708093
15 109 233 25397 0.003153214592020959
15 113 149 16837 0.0032296610064804555
15 113 181 20453 0.0030558882048353554
15 113 197 22261 0.0032853985903784633
15 113 229 25877 0.002705059410072863
15 113 233 26329 0.003486358397640288
15 113 241 27233 0.004261691204737872
15 113 251 28363 0.002609364013187587
15 127 149 18923 0.004049093194771558
15 127 163 20701 0.0032218200154602527
15 127 173 21971 0.002739932399708778
15 127 179 22733 0.0036754860077053307
15 127 191 24257 0.003961022978182882
15 127 193 24511 0.003867479204200208
15 127 211 26797 0.002657242608256638
15 127 223 28321 0.004427204409148544
15 127 233 29591 0.002253847592510283
15 127 241 30607 0.0020128505886532365
15 131 149 19519 0.0021155518130399286
15 131 157 20567 0.003386961598880589
15 131 173 22663 0.005021964793559164
15 131 181 23711 0.0035051160142757
15 131 191 25021 0.002245398599188775
15 131 193 25283 0.0029831053805537524
15 131 197 25807 0.004464414599351585
15 131 199 26069 0.0036878320039249956
15 131 211 27641 0.0030468401964753866
15 131 227 29737 0.003457751590758562
15 137 139 19043 0.005425701604690403
15 137 151 20687 0.0029247515951283274
15 137 157 21509 0.0033946627867408098
15 137 163 22331 0.0045873300055973235
15 137 229 31373 0.0036581124179065226
15 137 233 31921 0.0037209787988103926
15 139 139 19321 0.0037742193904705345
15 139 157 21823 0.003354609408415854
15 139 163 22657 0.003936576808337122
15 139 173 24047 0.003134041593875736
15 139 179 24881 0.004378481605090201
15 139 181 25159 0.002795773802790791
15 139 199 27661 0.005824675422627479
15 139 211 29329 0.003743827610742301
15 139 227 31553 0.0029413365991786122
15 139 229 31831 0.00298245120793581
15 139 233 32387 0.0028209258103743195
15 149 157 23393 0.0038810853962786495
15 149 163 24287 0.0038925835862755774
15 149 173 25777 0.003253423189744353
15 149 179 26671 0.0028182516107335687
15 149 181 26969 0.003670320613309741
15 149 197 29353 0.0034354227827861905
15 149 199 29651 0.00315787298604846
15 149 211 31439 0.002975968015380204
15 151 179 27029 0.003507441794499755
15 151 181 27331 0.00336548542836681
15 151 211 31861 0.0029513131943531335
15 157 163 25591 0.003747783799190074
15 157 179 28103 0.003940005006734281
15 157 181 28417 0.0035932931932620704
15 157 191 29987 0.0037986170034855606
15 157 197 30929 0.003488626575563103
15 157 199 31243 0.0028138465830124916
15 163 179 29177 0.003443968598730862
15 163 197 32111 0.004202767997048796
15 163 199 32437 0.003153667796868831
15 167 173 28891 0.0040393834002316
15 167 181 30227 0.004064085579011589
16 131 251 32881 0.005517004593275488
16 131 257 33667 0.004082187020685524
16 131 263 34453 0.004633394209668041
16 131 269 35239 0.005180642218329012
16 131 311 40741 0.006288118578959256
16 131 359 47029 0.0042604153975844385
16 131 373 48863 0.004507470002863556
16 131 401 52531 0.004485921387095004
16 131 419 54889 0.005517883982975036
16 131 487 63797 0.004657840600702912
16 137 271 37127 0.004565089591778815
16 137 281 38497 0.005058992619160563
16 137 293 40141 0.003477327199652791
16 137 313 42881 0.006258756015449762
16 137 331 45347 0.00474273239960894
16 137 349 47813 0.0052488075918518005
16 137 373 51101 0.00532341820653528
16 137 389 53293 0.005878197401762009
16 137 431 59047 0.003623698593582958
16 137 439 60143 0.005158680188469589
16 139 241 33499 0.003295072610490024
16 139 257 35723 0.004270256194286048
16 139 263 36557 0.004035055206622928
16 139 293 40727 0.004493778804317117
16 139 317 44063 0.004635830398183316
16 139 353 49067 0.003274843411054462
16 139 359 49901 0.007135262002702802
16 139 383 53237 0.0045768903801217675
16 149 241 35909 0.003844471217598766
16 149 251 37399 0.003850796807091683
16 149 257 38293 0.004115360206924379
16 149 311 46339 0.004888372984714806
16 149 349 52001 0.004451200610492379
16 149 379 56471 0.004198884405195713
16 149 389 57961 0.0046197411953471604
16 149 421 62729 0.004249891196377575
16 149 439 65411 0.004898930015042424
16 151 271 40921 0.004630493826698512
16 151 283 42733 0.005558425199706107
16 151 307 46357 0.004058582009747624
16 151 313 47263 0.0037442702101543545
16 151 337 50887 0.003946585790254175
16 151 347 52397 0.003274954797234386
16 151 433 65383 0.003646254783961922
16 157 251 39407 0.0037197900121100245
