#bitsize(pq) p q pq min
16 179 349 62471 0.0016321560033247806
16 181 199 36019 0.0017436900016036816
16 181 227 41087 0.0016855020003276877
16 181 307 55567 0.0016133680037455633
16 181 347 62807 0.001744321001751814
16 191 199 38009 0.0016484899970237166
16 191 257 49087 0.002092445000016596
16 191 269 51379 0.0016081420035334304
16 191 317 60547 0.001609692997590173
16 191 331 63221 0.0016573940010857768
16 193 211 40723 0.0016343850002158433
16 193 233 44969 0.0016526280014659278
16 193 271 52303 0.0015671289947931655
16 193 281 54233 0.001691366000159178
16 193 283 54619 0.0015641290010535158
16 193 293 56549 0.0017437600035918877
16 193 311 60023 0.0015640990022802725
16 193 317 61181 0.0017131209970102645
16 197 211 41567 0.0015797070009284653
16 197 269 52993 0.0018405390001134947
16 197 277 54569 0.0016840180032886565
16 199 211 41989 0.0015496500054723583
16 199 229 45571 0.0015958239964675158
16 199 239 47561 0.001573232002556324
16 199 263 52337 0.001639048001379706
16 211 227 47897 0.0016176380013348535
16 211 257 54227 0.0016650039979140274
16 211 271 57181 0.0016135100013343617
16 211 293 61823 0.0016712200012989342
16 223 263 58649 0.0018091910023940727
16 227 227 51529 0.0016824499980430119
16 227 233 52891 0.0016456369994557463
16 227 251 56977 0.0015369390021078289
16 229 251 57479 0.0015732719984953292
16 229 257 58853 0.0017415179972886108
16 229 271 62059 0.001550847002363298
16 233 263 61279 0.0016781550002633594
16 233 281 65473 0.0015418499970110133
16 241 251 60491 0.001571030996274203
16 241 263 63383 0.0016728800037526526
17 137 487 66719 0.001655441003094893
17 139 509 70751 0.0018256929979543202
17 149 463 68987 0.0018594529974507168
17 149 509 75841 0.0017246040006284602
17 151 461 69611 0.0018596289955894463
17 151 491 74141 0.001918043002660852
17 157 419 65783 0.0016656029984005727
17 157 439 68923 0.001702991001366172
17 157 487 76459 0.0017036930003087036
17 163 421 68623 0.0017890359958983026
17 163 439 71557 0.0017353450020891614
17 163 461 75143 0.0016989510040730238
17 167 439 73313 0.001708222996967379
17 167 443 73981 0.0017881200037663803
17 173 419 72487 0.0017471699975430965
17 173 449 77677 0.0018601980045787059
17 179 373 66767 0.001688320997345727
17 179 457 81803 0.0016935450039454736
17 181 367 66427 0.0017558069957885891
17 181 397 71857 0.0017388470005244017
17 181 409 74029 0.001701019995380193
17 181 487 88147 0.0017792380022001453
17 191 401 76591 0.0016822130055516027
17 191 443 84613 0.0017814269958762452
17 191 503 96073 0.0016853590059326962
17 193 347 66971 0.0017189179998240434
17 193 419 80867 0.0017675100025371648
17 193 503 97079 0.0016879299946594983
17 197 337 66389 0.0017707000006339513
17 197 359 70723 0.0017048059962689877
17 197 439 86483 0.0016953599988482893
17 199 401 79799 0.001948162003827747
17 199 409 81391 0.0017778350011212751
17 199 463 92137 0.0017227050047949888
17 211 317 66887 0.001633584004594013
17 211 337 71107 0.0017554160003783181
17 211 347 73217 0.0016805350023787469
17 211 461 97271 0.0017286929942201823
17 211 499 105289 0.0017197350025526248
17 223 353 78719 0.001762703999702353
17 223 457 101911 0.0016491839996888302
17 223 479 106817 0.0018564959973446093
17 223 499 111277 0.001847583000198938
17 227 313 71051 0.0016502650032634847
17 227 353 80131 0.0018625740049174055
17 227 359 81493 0.0016933689985307865
17 227 499 113273 0.0017153789958683774
17 229 313 71677 0.0018234819945064373
17 229 397 90913 0.0017428639985155314
17 229 457 104653 0.0016826589999254793
17 233 347 80851 0.001730787000269629
17 233 397 92501 0.001664406001509633
17 233 461 107413 0.0017468669975642115
17 239 347 82933 0.0017975230002775788
17 239 421 100619 0.0018383700007689185
17 239 467 111613 0.001727356000628788
17 241 313 75433 0.0018866030004573986
17 241 337 81217 0.0019799989968305454
17 241 373 89893 0.001660711997828912
17 241 383 92303 0.0017223280010512099
17 241 463 111583 0.0016856629954418167
17 251 311 78061 0.001682735004578717
17 251 373 93623 0.0016651949990773574
17 251 401 100651 0.0017270809985348023
17 251 419 105169 0.001953306003997568
17 251 467 117217 0.0017551190030644648
17 257 317 81469 0.0017400899960193783
17 257 347 89179 0.0017102860001614317
17 257 349 89693 0.001680271998338867
17 257 359 92263 0.001685609997366555
17 263 331 87053 0.0018755060009425506
17 263 421 110723 0.0018083120012306608
17 269 311 83659 0.0017048949957825243
17 269 349 93881 0.0017585640016477555
17 269 373 100337 0.0017214139952557161
17 269 463 124547 0.00182592700002715
17 269 479 128851 0.0017559830012032762
17 269 487 131003 0.0016769459980423562
17 271 379 102709 0.0016759749996708706
17 271 397 107587 0.0018664809977053665
17 277 337 93349 0.0017140419950010255
17 277 409 113293 0.0017842359957285225
17 277 421 116617 0.0017863629982457496
17 281 439 123359 0.0017782629947760142
17 283 283 80089 0.001863966987002641
17 283 439 124237 0.002069037996989209
17 283 457 129331 0.0017749329999787733
17 293 293 85849 0.00190763999853516
17 293 307 89951 0.0017149450068245642
17 293 317 92881 0.0019102959995507263
17 293 373 109289 0.0017121240016422234
17 293 397 116321 0.0017861710002762266
17 293 409 119837 0.0017972589994315058
17 307 317 97319 0.0018830690023605712
17 307 373 114511 0.001836447001551278
17 307 421 129247 0.0017783210059860721
17 311 389 120979 0.0016974680038401857
17 311 419 130309 0.0019291280041215941
17 331 347 114857 0.001763208994816523
17 347 367 127349 0.0017192080049426295
18 257 617 158569 0.0017880530067486688
18 257 647 166279 0.001800639001885429
18 257 809 207913 0.001968200995179359
18 263 499 131237 0.0019910109986085445
18 263 613 161219 0.001849930005846545
18 263 619 162797 0.0020442020031623542
18 263 631 165953 0.0021981819954817183
18 269 821 220849 0.001988664000236895
18 269 967 260123 0.0020644949981942773
18 271 601 162871 0.0018657530017662793
18 271 661 179131 0.0019035190052818507
18 271 829 224659 0.0018619859984028153
18 271 857 232247 0.0017752690037013963
18 271 859 232789 0.002008834002481308
18 277 547 151519 0.00181848400097806
18 277 599 165923 0.001918532005220186
18 277 643 178111 0.0019546679977793247
18 277 719 199163 0.001899360999232158
18 277 761 210797 0.0020976279993192293
18 277 787 217999 0.0018812110065482557
18 277 811 224647 0.0019787659985013306
18 277 829 229633 0.0018247750049340539
18 277 919 254563 0.0017711909968056716
18 281 523 146963 0.0018006559985224158
18 281 631 177311 0.0019356760021764785
18 281 727 204287 0.0017849819996627048
18 283 691 195553 0.001870607004093472
18 283 739 209137 0.001922330993693322
18 283 797 225551 0.0018035899993265048
18 283 827 234041 0.0018148469971492887
18 293 521 152653 0.001890897998237051
18 293 523 153239 0.0018788349989335984
18 293 593 173749 0.001892227002826985
18 293 877 256961 0.0021837520034750924
18 307 607 186349 0.0018004770026891492
18 307 653 200471 0.0019883370041497983
18 307 839 257573 0.001893347995064687
18 307 853 261871 0.0021169040046515875
18 311 433 134663 0.0019208189987693913
18 311 439 136529 0.001822714002628345
18 311 491 152701 0.001865205995272845
18 311 757 235427 0.0020443989997147582
18 311 811 252221 0.001928092970047146
18 313 659 206267 0.0017689379965304397
18 313 733 229429 0.0018428300027153455
18 317 433 137261 0.0018204230000264943
18 317 479 151843 0.001808957997127436
18 317 547 173399 0.0019174210028722882
18 317 683 216511 0.0019062010032939725
18 317 727 230459 0.0019138029965688474
18 317 769 243773 0.0019885270012309775
18 317 811 257087 0.002054777003650088
18 331 499 165169 0.0018221959981019609
18 331 619 204889 0.0022714930018992163
18 331 701 232031 0.0020388249977258965
18 337 419 141203 0.00201511900377227
18 337 443 149291 0.0020186510009807535
18 337 599 201863 0.0018017559996224009
18 337 709 238933 0.0018800619945977814
18 337 733 247021 0.0019667189990286715
18 337 773 260501 0.0019820550005533732
18 347 419 145393 0.0018003340010182
18 347 571 198137 0.001910491002490744
18 347 683 237001 0.0018634640000527725
18 349 379 132271 0.0018867600010707974
18 359 617 221503 0.0018154429999412969
18 359 659 236581 0.002068513000267558
18 367 643 235981 0.0018205140004283749
18 367 683 250661 0.0020536140000331216
18 373 389 145097 0.0017993129949900322
18 373 683 254759 0.001864545003627427
18 379 389 147431 0.0018399680047878064
18 379 397 150463 0.001761705003445968
18 379 439 166381 0.001885676996607799
18 383 421 161243 0.0019255270017310977
18 383 457 175031 0.0018262820012751035
18 389 521 202669 0.0019391210007597692
18 397 571 226687 0.0019770560029428452
18 397 617 244949 0.0017654930052231066
18 401 467 187267 0.0017701749966363423
18 401 569 228169 0.002497467998182401
18 409 523 213907 0.002029662995482795
18 409 571 233539 0.00184716399962781
18 419 461 193159 0.001843156998802442
18 421 509 214289 0.001802367994969245
18 421 523 220183 0.0018567740044090897
18 421 619 260599 0.0021175080037210137
18 431 463 199553 0.0017295779980486259
18 431 571 246101 0.0017691370012471452
18 433 463 200479 0.0019383539984119125
18 433 509 220397 0.0017581139982212335
18 439 479 210281 0.0018279270007042214
18 443 521 230803 0.0020666669952333905
18 449 487 218663 0.001773156000126619
18 449 569 255481 0.001829627995903138
18 461 487 224507 0.0018187349996878766
18 467 523 244241 0.0019561939989216626
18 467 541 252647 0.0018642229988472536
18 487 523 254701 0.0018896050023613498
18 499 523 260977 0.0019953560040448792
19 263 997 262211 0.0021229280027910136
19 277 977 270629 0.0019510999991325662
19 307 919 282133 0.001965142000699416
19 313 859 268867 0.0019692409987328574
19 313 877 274501 0.0021989369997754693
19 317 941 298297 0.0019350740039953962
