#n p q pq seed time
17 173 449 77677 74 0.002226050000899704
17 179 373 66767 92 0.002124252998328302
17 179 457 81803 34 0.0019151339984091464
17 181 367 66427 30 0.002065231001324719
17 181 397 71857 69 0.0020268150001356844
17 181 409 74029 100 0.0018500439982744865
17 181 487 88147 41 0.0018851259992516134
17 191 401 76591 23 0.0019193560001440346
17 191 443 84613 27 0.0018832460009434726
17 191 503 96073 36 0.0019369380024727434
17 193 347 66971 10 0.0020697730033134576
17 193 419 80867 66 0.0019298369988973718
17 193 503 97079 5 0.0020399649984028656
17 197 337 66389 70 0.0018563420017017052
17 197 359 70723 29 0.001966200998140266
17 197 439 86483 29 0.0017577220023667905
17 199 401 79799 42 0.0017739790018822532
17 199 409 81391 42 0.0019754139975702856
17 199 463 92137 40 0.0019192180006939452
17 211 317 66887 76 0.0019868000017595477
17 211 337 71107 22 0.0018977820000145584
17 211 347 73217 15 0.0019442660013737623
17 211 461 97271 76 0.0018056570006592665
17 211 499 105289 36 0.0020380549976835027
17 223 353 78719 96 0.0018926250013464596
17 223 457 101911 62 0.002153270001144847
17 223 479 106817 54 0.0020737480008392595
17 223 499 111277 27 0.0018146870024793316
17 227 313 71051 53 0.001962662001460558
17 227 353 80131 13 0.0018754769989755005
17 227 359 81493 75 0.002086003001750214
17 227 499 113273 54 0.0020280680000723805
17 229 313 71677 28 0.0019205869975849055
17 229 397 90913 28 0.002032741998846177
17 229 457 104653 84 0.0020960949987056665
17 233 347 80851 8 0.0021354799973778427
17 233 397 92501 40 0.001973940001334995
17 233 461 107413 9 0.0021207969984970987
17 239 347 82933 63 0.002011878001212608
17 239 421 100619 28 0.0019877330014423933
17 239 467 111613 4 0.002092953996907454
17 241 313 75433 76 0.0018873349981731735
17 241 337 81217 89 0.0020560869998007547
17 241 373 89893 5 0.0018084090006595943
17 241 383 92303 31 0.001949805999174714
17 241 463 111583 65 0.001897909001854714
17 251 311 78061 95 0.001979239998036064
17 251 373 93623 2 0.0019815040031971876
17 251 401 100651 19 0.0018997029983438551
17 251 419 105169 12 0.0020303970013628714
