#bitsize(pq) p q pq mean
19 383 929 355807 0.03213168198708445
19 383 1019 390277 0.0321006024023518
19 397 991 393427 0.038766625395510346
19 401 673 269873 0.03910966821713373
19 401 719 288319 0.03222147900378332
19 401 853 342053 0.032343283400405196
19 401 877 351677 0.03246644519967958
19 401 881 353281 0.032404378021601586
19 409 743 303887 0.039304061012808235
19 409 857 350513 0.03230447880923748
19 409 881 360329 0.03231957018142566
19 419 647 271093 0.03896390139125287
19 419 661 276959 0.03213533840607852
19 419 673 281987 0.03234633419197053
19 421 769 323749 0.03229219480417669
19 421 797 335537 0.03225031840847805
19 431 809 348679 0.03230855598812923
19 433 619 268027 0.04512818302027881
