#bitsize(pq) p q pq median
16 167 239 39913 0.007898186973761767
16 167 293 48931 0.0322023990447633
16 167 307 51269 0.032173814019188285
16 167 379 63293 0.03240540897240862
16 179 193 34547 0.00794401700841263
16 179 227 40633 0.007960567018017173
16 179 229 40991 0.01619749702513218
16 179 241 43139 0.007905103964731097
16 179 349 62471 0.03216887096641585
16 181 199 36019 0.01609063398791477
16 181 227 41087 0.01608204998774454
16 181 307 55567 0.03212122502736747
16 181 347 62807 0.03218433499569073
16 191 199 38009 0.016042305971495807
16 191 257 49087 0.03232005698373541
16 191 269 51379 0.032342193997465074
16 191 317 60547 0.032206437026616186
16 191 331 63221 0.03275874099927023
16 193 211 40723 0.016207156993914396
16 193 233 44969 0.01666729402495548
16 193 271 52303 0.03201337798964232
16 193 281 54233 0.032305347034707665
16 193 283 54619 0.03257776203099638
16 193 293 56549 0.03217879496514797
16 193 311 60023 0.032490833022166044
16 193 317 61181 0.03211224201368168
16 197 211 41567 0.0078458990319632
16 197 269 52993 0.031997599988244474
16 197 277 54569 0.032060783996712416
16 199 211 41989 0.007942568976432085
16 199 229 45571 0.01643944001989439
16 199 239 47561 0.00783375499304384
16 199 263 52337 0.032108038023579866
16 211 227 47897 0.008075516961980611
16 211 257 54227 0.016064742987509817
16 211 271 57181 0.032197825028561056
16 211 293 61823 0.032174702966585755
16 223 263 58649 0.0319989449926652
16 227 227 51529 0.007875783019699156
16 227 233 52891 0.007935097033623606
16 227 251 56977 0.007813488016836345
16 229 251 57479 0.016501561971381307
16 229 257 58853 0.03234789601992816
16 229 271 62059 0.03285482298815623
16 233 263 61279 0.03215140994871035
16 233 281 65473 0.03200337401358411
16 241 251 60491 0.007847078028135002
16 241 263 63383 0.03205342002911493
17 137 487 66719 0.03223758901003748
17 139 509 70751 0.032201387046370655
17 149 463 68987 0.032255233032628894
17 149 509 75841 0.0329109649755992
17 151 461 69611 0.03225060901604593
17 151 491 74141 0.03225776000181213
17 157 419 65783 0.03206832497380674
17 157 439 68923 0.03199944301741198
17 157 487 76459 0.032059627992566675
17 163 421 68623 0.01598058600211516
17 163 439 71557 0.03229175403248519
17 163 461 75143 0.03303909604437649
17 167 439 73313 0.03227843495551497
17 167 443 73981 0.032187462027650326
17 173 419 72487 0.032067808031570166
17 173 449 77677 0.033164273016154766
17 179 373 66767 0.032009957008995116
17 179 457 81803 0.032165592012461275
17 181 367 66427 0.03212316602002829
17 181 397 71857 0.032054529001470655
17 181 409 74029 0.03225762699730694
17 181 487 88147 0.032322000013664365
17 191 401 76591 0.032177802990190685
17 191 443 84613 0.032178163004573435
17 191 503 96073 0.032517584040760994
17 193 347 66971 0.032250945980194956
17 193 419 80867 0.03191820200299844
17 193 503 97079 0.016017583024222404
17 197 337 66389 0.01593134697759524
17 197 359 70723 0.01598844799445942
17 197 439 86483 0.01592333597363904
17 199 401 79799 0.03201230400009081
17 199 409 81391 0.015900120954029262
17 199 463 92137 0.032202164991758764
17 211 317 66887 0.03304528701119125
17 211 337 71107 0.0320605409797281
17 211 347 73217 0.032052770955488086
17 211 461 97271 0.03233993798494339
17 211 499 105289 0.03246496198698878
17 223 353 78719 0.032313556992448866
17 223 457 101911 0.03253089595818892
17 223 479 106817 0.03254625998670235
17 223 499 111277 0.032818594947457314
17 227 313 71051 0.032175583008211106
17 227 353 80131 0.0321790209854953
17 227 359 81493 0.03215802100021392
17 227 499 113273 0.03239552298327908
17 229 313 71677 0.03250887099420652
17 229 397 90913 0.03220998198958114
17 229 457 104653 0.03207860898692161
17 233 347 80851 0.033099619031418115
17 233 397 92501 0.032245751994196326
17 233 461 107413 0.032337679993361235
17 239 347 82933 0.0319968179683201
17 239 421 100619 0.015874264994636178
17 239 467 111613 0.015948760032188147
17 241 313 75433 0.032056173018645495
17 241 337 81217 0.03213576303096488
17 241 373 89893 0.032002808002289385
17 241 383 92303 0.03314762900117785
17 241 463 111583 0.03237522498238832
17 251 311 78061 0.03240672795800492
17 251 373 93623 0.03204251703573391
17 251 401 100651 0.03196396597195417
17 251 419 105169 0.015930269029922783
17 251 467 117217 0.03200038895010948
17 257 317 81469 0.03215830499539152
17 257 347 89179 0.032218720007222146
17 257 349 89693 0.03215043997624889
17 257 359 92263 0.03261858399491757
17 263 331 87053 0.032172921986784786
17 263 421 110723 0.03245040500769392
17 269 311 83659 0.0320855820318684
17 269 349 93881 0.032093852001708
17 269 373 100337 0.032072776986751705
17 269 463 124547 0.03199165500700474
17 269 479 128851 0.0330844649579376
17 269 487 131003 0.03236893401481211
17 271 379 102709 0.0320964339771308
17 271 397 107587 0.032454331987537444
17 277 337 93349 0.03307742299512029
17 277 409 113293 0.03217309102183208
17 277 421 116617 0.03201227996032685
17 281 439 123359 0.03224283503368497
17 283 283 80089 0.032185930002015084
17 283 439 124237 0.03207799803931266
17 283 457 129331 0.03212886297842488
17 293 293 85849 0.032003954984247684
17 293 307 89951 0.03197620698483661
17 293 317 92881 0.0322228770237416
17 293 373 109289 0.03217911999672651
17 293 397 116321 0.0324793680338189
17 293 409 119837 0.03212375001749024
17 307 317 97319 0.03213435201905668
17 307 373 114511 0.03206150501500815
17 307 421 129247 0.03292239300208166
17 311 389 120979 0.03199953096918762
17 311 419 130309 0.032163225987460464
17 331 347 114857 0.03205074998550117
17 347 367 127349 0.0319934610160999
18 257 617 158569 0.03232071700040251
18 257 647 166279 0.03315092500997707
18 257 809 207913 0.03220838599372655
18 263 499 131237 0.032389659027103335
18 263 613 161219 0.06429761095205322
18 263 619 162797 0.033046869037207216
18 263 631 165953 0.032073965994641185
18 269 821 220849 0.0642300599720329
18 269 967 260123 0.03233272099168971
18 271 601 162871 0.03232675697654486
18 271 661 179131 0.03315895400010049
18 271 829 224659 0.03199888800736517
18 271 857 232247 0.032462835020851344
18 271 859 232789 0.03317539097042754
18 277 547 151519 0.032110682979691774
18 277 599 165923 0.03200674999970943
18 277 643 178111 0.03209880000213161
18 277 719 199163 0.03308986296178773
18 277 761 210797 0.03208535700105131
18 277 787 217999 0.03315936302533373
18 277 811 224647 0.032622268015984446
18 277 829 229633 0.03206344100181013
18 277 919 254563 0.03209126298315823
18 281 523 146963 0.032103492005262524
18 281 631 177311 0.03247496602125466
18 281 727 204287 0.032049161032773554
18 283 691 195553 0.03207096800906584
18 283 739 209137 0.03313181601697579
18 283 797 225551 0.03209447697736323
18 283 827 234041 0.03203997603850439
18 293 521 152653 0.03215514699695632
18 293 523 153239 0.03202358999988064
18 293 593 173749 0.0330765419639647
18 293 877 256961 0.03220524702919647
18 307 607 186349 0.032010574999731034
18 307 653 200471 0.06412000197451562
18 307 839 257573 0.03212187299504876
18 307 853 261871 0.03201730200089514
18 311 433 134663 0.03209661704022437
18 311 439 136529 0.03286209603538737
18 311 491 152701 0.03235294501064345
18 311 757 235427 0.03208203800022602
18 311 811 252221 0.03203057299833745
18 313 659 206267 0.03199571504956111
18 313 733 229429 0.03204015694791451
18 317 433 137261 0.032165818964131176
18 317 479 151843 0.03232931304955855
18 317 547 173399 0.03211855300469324
18 317 683 216511 0.032543962995987386
18 317 727 230459 0.06485691701527685
18 317 769 243773 0.03309556795284152
18 317 811 257087 0.032305092026945204
18 331 499 165169 0.03215393301798031
18 331 619 204889 0.03208531701238826
18 331 701 232031 0.03217665001284331
18 337 419 141203 0.032013330957852304
18 337 443 149291 0.0321037900284864
18 337 599 201863 0.0320604209555313
18 337 709 238933 0.03216645400971174
18 337 733 247021 0.06473748997086659
18 337 773 260501 0.033084559021517634
18 347 419 145393 0.03213025297736749
18 347 571 198137 0.06420193001395091
18 347 683 237001 0.03209849097765982
18 349 379 132271 0.033077066007535905
18 359 617 221503 0.03314255201257765
18 359 659 236581 0.03244589001405984
18 367 643 235981 0.0322579579660669
18 367 683 250661 0.032199756999034435
18 373 389 145097 0.031993021024391055
18 373 683 254759 0.03200924798147753
18 379 389 147431 0.031971974996849895
18 379 397 150463 0.03218435699818656
18 379 439 166381 0.03233399102464318
18 383 421 161243 0.03200693899998441
18 383 457 175031 0.03201472095679492
18 389 521 202669 0.03256963298190385
18 397 571 226687 0.03233831003308296
18 397 617 244949 0.03228578995913267
18 401 467 187267 0.032257298997137696
18 401 569 228169 0.03217423800379038
18 409 523 213907 0.03223778901156038
18 409 571 233539 0.032626336032990366
18 419 461 193159 0.03211745899170637
18 421 509 214289 0.03218404803192243
18 421 523 220183 0.03261876100441441
18 421 619 260599 0.03222346003167331
18 431 463 199553 0.03226116101723164
18 431 571 246101 0.03214813501108438
18 433 463 200479 0.032267165021039546
18 433 509 220397 0.03204268898116425
18 439 479 210281 0.03265873796772212
18 443 521 230803 0.032167711993679404
18 449 487 218663 0.03283810499124229
18 449 569 255481 0.032706768019124866
18 461 487 224507 0.03216415498172864
18 467 523 244241 0.031999352970160544
18 467 541 252647 0.032310410984791815
18 487 523 254701 0.03310824203072116
18 499 523 260977 0.03211992705473676
19 263 997 262211 0.032083644007798284
19 277 977 270629 0.03219640697352588
19 307 919 282133 0.033027595025487244
19 313 859 268867 0.032172042003367096
19 313 877 274501 0.03205948002869263
19 317 941 298297 0.06519550498342142
19 317 977 309709 0.03222670900868252
19 317 997 316049 0.032264130015391856
19 331 997 330007 0.03301755100255832
19 337 947 319139 0.03287683200323954
19 349 1019 355631 0.03228838898940012
19 353 773 272869 0.03255982301197946
19 353 857 302521 0.03319601697148755
19 353 983 346999 0.0325856389827095
19 373 821 306233 0.03203548101009801
19 379 701 265679 0.032410308020189404
19 383 929 355807 0.03215545695275068
19 383 1019 390277 0.032100451993755996
19 397 991 393427 0.032330907008145005
19 401 673 269873 0.033056006010156125
19 401 719 288319 0.032037622993811965
19 401 853 342053 0.03218133799964562
19 401 877 351677 0.032198200991842896
19 401 881 353281 0.03247271303553134
19 409 743 303887 0.03304919903166592
19 409 857 350513 0.032150315993931144
19 409 881 360329 0.03215025196550414
19 419 647 271093 0.032273113960400224
19 419 661 276959 0.03205497603630647
19 419 673 281987 0.03214286599541083
19 421 769 323749 0.03215808898676187
19 421 797 335537 0.03205016301944852
19 431 809 348679 0.03211634699255228
19 433 619 268027 0.03280105901649222
