#bitsize(pq) p q pq std
16 137 373 51101 0.006574148482099424
16 137 389 53293 0.006422844152691367
16 137 431 59047 0.00789927880887225
16 137 439 60143 0.012719954288327092
16 139 241 33499 0.004268214053297257
16 139 257 35723 0.00024611238553389576
16 139 263 36557 0.006498661798899026
16 139 293 40727 0.0007911906020622519
16 139 317 44063 4.8686429727951724e-05
16 139 353 49067 0.00647793908997099
16 139 359 49901 0.000262304003410822
16 139 383 53237 0.0004004126358253201
16 149 241 35909 0.00808632211902334
16 149 251 37399 0.004041152139623227
16 149 257 38293 0.00811272458128016
16 149 311 46339 0.0004259010068936068
16 149 349 52001 0.00011483576943365277
16 149 379 56471 0.00019428380848089138
16 149 389 57961 0.0002734701528286427
16 149 421 62729 9.943594032892876e-05
16 149 439 65411 0.0064650495067964
16 151 271 40921 0.006470437125865725
16 151 283 42733 0.0005223489858504347
16 151 307 46357 0.012726537101023274
16 151 313 47263 0.00015048452301632853
16 151 337 50887 0.00038522379390083046
16 151 347 52397 0.0005246419393241136
16 151 433 65383 0.013149284621281947
16 157 251 39407 0.000258101618811129
16 157 263 41291 0.0005589227915972008
16 157 277 43489 0.006444476388060748
16 157 311 48827 0.006555366970992089
16 157 347 54479 0.00669937701713703
16 157 389 61073 0.012894930600355303
16 167 199 33233 0.009694826283209888
16 167 233 38911 0.004078794187431974
16 167 239 39913 0.00035103910368226464
16 167 293 48931 0.012885404042708295
16 167 307 51269 0.00037860483972724314
16 167 379 63293 0.00019327314766543052
16 179 193 34547 0.004508740376100274
16 179 227 40633 0.003961984361791549
16 179 229 40991 0.008714005470118344
16 179 241 43139 0.009734246587714941
16 179 349 62471 0.006542012511712231
16 181 199 36019 0.0040463115670465255
16 181 227 41087 0.00790764812440935
16 181 307 55567 0.006573149436443086
16 181 347 62807 0.00016974242124304586
16 191 199 38009 0.003921003624960022
16 191 257 49087 0.0004805207871605908
16 191 269 51379 0.0001515709419497434
16 191 317 60547 0.0004266608157303723
16 191 331 63221 0.00034200657909734425
16 193 211 40723 0.004107819665099852
16 193 233 44969 0.008136239366342205
16 193 271 52303 0.0004344987726472799
16 193 281 54233 0.00041205383108633355
16 193 283 54619 0.01319952981755971
16 193 293 56549 0.00038919910268734773
16 193 311 60023 0.0004089122090302513
16 193 317 61181 0.006545851312369211
16 197 211 41567 2.193455185386963e-05
16 197 269 52993 0.007906165810042411
16 197 277 54569 0.0003893220009478421
