#bitsize(pq) p q pq min
15 73 229 16717 0.03261128900339827
15 79 227 17933 0.0322963620419614
15 79 229 18091 0.03225295100128278
15 79 239 18881 0.015970239008311182
15 79 241 19039 0.03217563504585996
15 83 199 16517 0.032397218979895115
15 83 211 17513 0.03269044903572649
15 83 233 19339 0.03207890997873619
15 89 191 16999 0.015972352994140238
15 89 193 17177 0.03222926001762971
15 89 211 18779 0.03223597095347941
15 89 233 20737 0.015984241967089474
15 97 179 17363 0.03286486101569608
15 97 181 17557 0.01593176700407639
15 97 191 18527 0.016995296988170594
15 97 197 19109 0.016087462950963527
15 97 251 24347 0.032091176020912826
15 101 173 17473 0.01616182504221797
15 101 191 19291 0.015957624011207372
15 101 193 19493 0.03208758099935949
15 101 199 20099 0.03256481001153588
15 101 233 23533 0.032513599027879536
15 101 239 24139 0.0329440759960562
15 103 167 17201 0.015925429994240403
15 103 181 18643 0.01595114398514852
15 103 197 20291 0.015965603990480304
15 103 239 24617 0.03310185897862539
15 107 223 23861 0.01591670495690778
15 107 227 24289 0.015870989009272307
15 107 239 25573 0.032114295987412333
15 109 179 19511 0.03231868101283908
15 109 227 24743 0.03248903702478856
15 109 233 25397 0.015929699991829693
15 113 149 16837 0.016041784023400396
15 113 181 20453 0.015935434959828854
15 113 197 22261 0.03229345998261124
15 113 229 25877 0.03253200702602044
15 113 233 26329 0.016052904014941305
15 113 241 27233 0.01600293896626681
15 113 251 28363 0.03213608602527529
15 127 149 18923 0.032603149011265486
15 127 163 20701 0.01598645799094811
15 127 173 21971 0.03316080500371754
15 127 179 22733 0.032029365946073085
15 127 191 24257 0.01596023904858157
15 127 193 24511 0.0329208429902792
15 127 211 26797 0.01605343696428463
15 127 223 28321 0.033075341023504734
15 127 233 29591 0.032155604974832386
15 127 241 30607 0.032159420021343976
15 131 149 19519 0.03227141097886488
15 131 157 20567 0.015939354023430496
15 131 173 22663 0.015959489974193275
15 131 181 23711 0.03240482899127528
15 131 191 25021 0.03208856796845794
15 131 193 25283 0.03320284601068124
15 131 197 25807 0.016440726991277188
15 131 199 26069 0.01596548198722303
15 131 211 27641 0.0322109839762561
15 131 227 29737 0.03236065502278507
15 137 139 19043 0.03256638697348535
15 137 151 20687 0.03313803696073592
15 137 157 21509 0.015906792017631233
15 137 163 22331 0.032248569012153894
15 137 229 31373 0.01594881498022005
15 137 233 31921 0.01595625898335129
15 139 139 19321 0.032492738973814994
15 139 157 21823 0.032079772965516895
15 139 163 22657 0.01595749199623242
15 139 173 24047 0.01624867902137339
15 139 179 24881 0.01595406496198848
15 139 181 25159 0.016072663012892008
15 139 199 27661 0.03239213797496632
15 139 211 29329 0.016031443956308067
15 139 227 31553 0.03213851398322731
15 139 229 31831 0.017362673010211438
15 139 233 32387 0.015857174003031105
15 149 157 23393 0.01609745796304196
15 149 163 24287 0.032273033051751554
15 149 173 25777 0.015942133031785488
15 149 179 26671 0.01592948700999841
15 149 181 26969 0.03227843903005123
15 149 197 29353 0.03325930598657578
15 149 199 29651 0.03311070299241692
15 149 211 31439 0.032239930995274335
15 151 179 27029 0.032741675968281925
15 151 181 27331 0.03211350302444771
15 151 211 31861 0.03243173297960311
15 157 163 25591 0.032131219981238246
15 157 179 28103 0.03227546100970358
15 157 181 28417 0.03275499399751425
15 157 191 29987 0.032349926012102515
15 157 197 30929 0.015929717977996916
15 157 199 31243 0.016047390003222972
15 163 179 29177 0.015907537017483264
15 163 197 32111 0.03249311400577426
15 163 199 32437 0.03209221799625084
15 167 173 28891 0.032189056975767016
15 167 181 30227 0.0324774130131118
16 131 251 32881 0.03315462701721117
16 131 257 33667 0.06539071898441762
16 131 263 34453 0.06428350001806393
16 131 269 35239 0.06409259897191077
16 131 311 40741 0.032163708994630724
16 131 359 47029 0.03207710199058056
16 131 373 48863 0.06440417503472418
16 131 401 52531 0.06456490501295775
16 131 419 54889 0.06437602895312011
16 131 487 63797 0.06441380904288962
16 137 271 37127 0.0645086049917154
16 137 281 38497 0.06528079404961318
16 137 293 40141 0.0641385960043408
16 137 313 42881 0.06413595896447077
16 137 331 45347 0.03208785003516823
16 137 349 47813 0.06441715097753331
16 137 373 51101 0.06456432800041512
16 137 389 53293 0.031987894035410136
16 137 431 59047 0.06462298799306154
16 137 439 60143 0.0641720300191082
16 139 241 33499 0.03302548703504726
16 139 257 35723 0.03203916398342699
16 139 263 36557 0.06423291598912328
16 139 293 40727 0.06417789601255208
