#bitsize(pq) p q pq std
18 311 433 134663 0.0
18 311 439 136529 0.0
18 311 491 152701 0.0
18 311 757 235427 0.0
18 311 811 252221 0.0
18 313 659 206267 0.0
18 313 733 229429 0.0
18 317 433 137261 0.0
18 317 479 151843 0.0
18 317 547 173399 0.0
18 317 683 216511 0.0
18 317 727 230459 0.0
18 317 769 243773 0.0
18 317 811 257087 0.0
18 331 499 165169 0.0
18 331 619 204889 0.0
18 331 701 232031 0.0
18 337 419 141203 0.0
18 337 443 149291 0.0
18 337 599 201863 0.0
18 337 709 238933 0.0
18 337 733 247021 0.0
18 337 773 260501 0.0
18 347 419 145393 0.0
18 347 571 198137 0.0
18 347 683 237001 0.0
18 349 379 132271 0.0
18 359 617 221503 0.0
18 359 659 236581 0.0
18 367 643 235981 0.0
18 367 683 250661 0.0
18 373 389 145097 0.0
18 373 683 254759 0.0
18 379 389 147431 0.0
18 379 397 150463 0.0
18 379 439 166381 0.0
18 383 421 161243 0.0
18 383 457 175031 0.0
18 389 521 202669 0.0
18 397 571 226687 0.0
18 397 617 244949 0.0
18 401 467 187267 0.0
18 401 569 228169 0.0
18 409 523 213907 0.0
18 409 571 233539 0.0
18 419 461 193159 0.0
18 421 509 214289 0.0
18 421 523 220183 0.0
18 421 619 260599 0.0
18 431 463 199553 0.0
18 431 571 246101 0.0
18 433 463 200479 0.0
18 433 509 220397 0.0
18 439 479 210281 0.0
18 443 521 230803 0.0
18 449 487 218663 0.0
18 449 569 255481 0.0
18 461 487 224507 0.0
18 467 523 244241 0.0
18 467 541 252647 0.0
18 487 523 254701 0.0
18 499 523 260977 0.0
19 263 997 262211 0.0
19 277 977 270629 0.0
19 307 919 282133 0.0
19 313 859 268867 0.0
19 313 877 274501 0.0
19 317 941 298297 0.0
19 317 977 309709 0.0
19 317 997 316049 0.0
19 331 997 330007 0.0
19 337 947 319139 0.0
19 349 1019 355631 0.0
19 353 773 272869 0.0
19 353 857 302521 0.0
19 353 983 346999 0.0
19 373 821 306233 0.0
19 379 701 265679 0.0
19 383 929 355807 0.0
19 383 1019 390277 0.0
19 397 991 393427 0.0
19 401 673 269873 0.0
19 401 719 288319 0.0
19 401 853 342053 0.0
19 401 877 351677 0.0
19 401 881 353281 0.0
19 409 743 303887 0.0
19 409 857 350513 0.0
19 409 881 360329 0.0
19 419 647 271093 0.0
19 419 661 276959 0.0
19 419 673 281987 0.0
19 421 769 323749 0.0
19 421 797 335537 0.0
19 431 809 348679 0.0
19 433 619 268027 0.0
19 443 821 363703 0.0
19 443 941 416863 0.0
19 443 947 419521 0.0
19 449 733 329117 0.0
19 457 823 376111 0.0
19 461 661 304721 0.0
19 461 809 372949 0.0
19 461 1013 466993 0.0
19 463 1019 471797 0.0
19 467 761 355387 0.0
19 467 823 384341 0.0
19 467 907 423569 0.0
19 467 967 451589 0.0
19 479 673 322367 0.0
19 479 857 410503 0.0
19 479 883 422957 0.0
19 487 641 312167 0.0
19 487 863 420281 0.0
19 491 601 295091 0.0
19 491 733 359903 0.0
19 499 613 305887 0.0
19 499 619 308881 0.0
19 499 751 374749 0.0
19 499 881 439619 0.0
19 499 929 463571 0.0
19 503 601 302303 0.0
19 503 887 446161 0.0
19 509 523 266207 0.0
19 509 563 286567 0.0
19 509 863 439267 0.0
19 509 877 446393 0.0
19 521 659 343339 0.0
19 521 761 396481 0.0
19 521 797 415237 0.0
19 521 863 449623 0.0
19 521 947 493387 0.0
19 523 691 361393 0.0
19 523 811 424153 0.0
19 523 839 438797 0.0
19 541 751 406291 0.0
19 547 787 430489 0.0
19 557 659 367063 0.0
19 557 733 408281 0.0
19 571 757 432247 0.0
19 577 641 369857 0.0
19 577 853 492181 0.0
19 587 757 444359 0.0
19 593 757 448901 0.0
19 593 839 497527 0.0
19 599 653 391147 0.0
19 601 683 410483 0.0
19 601 701 421301 0.0
19 601 733 440533 0.0
19 607 619 375733 0.0
19 617 661 407837 0.0
19 617 823 507791 0.0
19 619 691 427729 0.0
19 631 647 408257 0.0
19 641 661 423701 0.0
19 643 643 413449 0.0
19 643 701 450743 0.0
19 653 751 490403 0.0
19 653 797 520441 0.0
19 661 773 510953 0.0
19 677 769 520613 0.0
19 683 751 512933 0.0
20 521 1931 1006051 0.0
20 523 1999 1045477 0.0
20 541 1097 593477 0.0
20 541 1559 843419 0.0
20 541 1907 1031687 0.0
20 557 1069 595433 0.0
20 557 1459 812663 0.0
20 563 1123 632249 0.0
20 563 1511 850693 0.0
20 563 1637 921631 0.0
20 569 1009 574121 0.0
20 571 1201 685771 0.0
20 571 1327 757717 0.0
20 571 1823 1040933 0.0
20 577 1699 980323 0.0
20 577 1789 1032253 0.0
20 587 1163 682681 0.0
20 587 1307 767209 0.0
20 587 1327 778949 0.0
20 587 1399 821213 0.0
20 593 967 573431 0.0
20 593 1171 694403 0.0
20 593 1667 988531 0.0
20 601 877 527077 0.0
20 607 971 589397 0.0
20 607 1279 776353 0.0
20 607 1523 924461 0.0
20 613 1031 632003 0.0
20 613 1097 672461 0.0
20 613 1291 791383 0.0
20 613 1459 894367 0.0
20 617 1051 648467 0.0
20 617 1093 674381 0.0
20 619 1181 731039 0.0
20 619 1229 760751 0.0
20 631 1069 674539 0.0
20 631 1087 685897 0.0
20 631 1559 983729 0.0
20 631 1571 991301 0.0
20 641 919 589079 0.0
20 643 1013 651359 0.0
20 643 1039 668077 0.0
20 643 1481 952283 0.0
20 643 1493 959999 0.0
20 643 1607 1033301 0.0
20 653 911 594883 0.0
20 653 991 647123 0.0
20 653 997 651041 0.0
20 653 1459 952727 0.0
20 661 1553 1026533 0.0
20 673 857 576761 0.0
20 673 1217 819041 0.0
20 673 1471 989983 0.0
20 673 1481 996713 0.0
20 683 787 537521 0.0
20 683 911 622213 0.0
20 683 1033 705539 0.0
20 683 1117 762911 0.0
20 691 1327 916957 0.0
20 691 1373 948743 0.0
20 691 1493 1031663 0.0
20 701 953 668053 0.0
20 701 1061 743761 0.0
20 701 1129 791429 0.0
20 709 881 624629 0.0
20 709 1093 774937 0.0
20 727 1181 858587 0.0
20 727 1237 899299 0.0
20 733 1289 944837 0.0
20 739 1361 1005779 0.0
20 743 1031 766033 0.0
20 743 1061 788323 0.0
20 751 863 648113 0.0
20 751 1289 968039 0.0
20 757 1181 894017 0.0
20 757 1259 953063 0.0
20 761 1361 1035721 0.0
20 769 967 743623 0.0
20 769 1061 815909 0.0
20 773 1181 912913 0.0
20 787 887 698069 0.0
20 809 1039 840551 0.0
20 809 1129 913361 0.0
20 809 1283 1037947 0.0
20 811 1049 850739 0.0
20 823 829 682267 0.0
20 823 1153 948919 0.0
20 823 1193 981839 0.0
20 823 1249 1027927 0.0
20 827 1187 981649 0.0
20 829 1091 904439 0.0
20 839 1231 1032809 0.0
20 859 1069 918271 0.0
20 859 1213 1041967 0.0
20 877 997 874369 0.0
20 881 1063 936503 0.0
20 883 907 800881 0.0
20 887 977 866599 0.0
20 911 1097 999367 0.0
20 1009 1031 1040279 0.0
21 541 1973 1067393 0.0
21 569 1999 1137431 0.0
21 571 2017 1151707 0.0
21 577 1993 1149961 0.0
21 587 1901 1115887 0.0
21 641 1667 1068547 0.0
21 641 1721 1103161 0.0
21 647 1997 1292059 0.0
21 659 1733 1142047 0.0
21 659 1987 1309433 0.0
21 673 1831 1232263 0.0
21 683 1747 1193201 0.0
21 691 2011 1389601 0.0
21 719 1693 1217267 0.0
21 727 1823 1325321 0.0
21 727 1933 1405291 0.0
21 733 1489 1091437 0.0
21 757 1489 1127173 0.0
21 769 1669 1283461 0.0
21 797 1553 1237741 0.0
21 809 1669 1350221 0.0
21 823 1579 1299517 0.0
21 827 1327 1097429 0.0
21 827 1559 1289293 0.0
21 839 1663 1395257 0.0
21 853 1459 1244527 0.0
21 853 1871 1595963 0.0
21 857 1439 1233223 0.0
21 859 1699 1459441 0.0
21 863 1277 1102051 0.0
21 881 1823 1606063 0.0
21 881 1879 1655399 0.0
21 883 1201 1060483 0.0
21 883 1453 1282999 0.0
21 883 1567 1383661 0.0
21 883 1973 1742159 0.0
21 887 1307 1159309 0.0
21 887 1601 1420087 0.0
21 919 1303 1197457 0.0
21 919 1873 1721287 0.0
21 929 1129 1048841 0.0
21 929 1609 1494761 0.0
21 941 1381 1299521 0.0
21 947 1907 1805929 0.0
21 947 1951 1847597 0.0
